"","variable","value"
"1","P1",4
"2","P1",4
"3","P1",12
"4","P1",2
"5","P1",2
"6","P1",3
"7","P1",2
"8","P1",4
"9","P1",5
"10","P1",12
"11","P1",12
"12","P1",2
"13","P1",12
"14","P1",4
"15","P1",4
"16","P1",12
"17","P1",3
"18","P1",4
"19","P1",3
"20","P1",4
"21","P1",3
"22","P1",4
"23","P1",5
"24","P1",2
"25","P1",5
"26","P1",3
"27","P1",4
"28","P1",3
"29","P1",4
"30","P1",12
"31","P1",4
"32","P1",4
"33","P1",4
"34","P1",4
"35","P1",5
"36","P1",12
"37","P1",1
"38","P1",2
"39","P1",12
"40","P1",12
"41","P1",4
"42","P1",12
"43","P1",2
"44","P1",4
"45","P1",3
"46","P1",6
"47","P1",4
"48","P1",2
"49","P1",12
"50","P1",4
"51","P1",3
"52","P1",3
"53","P1",4
"54","P1",2
"55","P1",4
"56","P1",3
"57","P1",4
"58","P1",4
"59","P1",2
"60","P1",4
"61","P1",4
"62","P1",4
"63","P1",1
"64","P1",6
"65","P1",4
"66","P1",2
"67","P1",3
"68","P1",2
"69","P1",3
"70","P1",3
"71","P1",2
"72","P1",9
"73","P1",6
"74","P1",3
"75","P1",12
"76","P1",2
"77","P1",1
"78","P1",3
"79","P1",2
"80","P1",3
"81","P1",1
"82","P1",4
"83","P1",2
"84","P1",6
"85","P1",1
"86","P1",2
"87","P1",3
"88","P1",2
"89","P1",1
"90","P1",3
"91","P1",3
"92","P1",1
"93","P1",3
"94","P1",2
"95","P1",4
"96","P1",3
"97","P1",3
"98","P1",3
"99","P1",4
"100","P1",2
"101","P1",4
"102","P1",6
"103","P1",3
"104","P1",4
"105","P1",4
"106","P1",4
"107","P1",3
"108","P1",3
"109","P1",2
"110","P1",2
"111","P1",2
"112","P1",2
"113","P1",9
"114","P1",4
"115","P1",3
"116","P1",9
"117","P1",2
"118","P1",2
"119","P1",1
"120","P1",2
"121","P1",3
"122","P1",2
"123","P1",2
"124","P1",1
"125","P1",2
"126","P1",2
"127","P1",3
"128","P1",2
"129","P1",4
"130","P1",2
"131","P1",3
"132","P1",3
"133","P1",2
"134","P1",6
"135","P1",9
"136","P1",2
"137","P1",2
"138","P2",5
"139","P2",5
"140","P2",7.5
"141","P2",4
"142","P2",4
"143","P2",5
"144","P2",3
"145","P2",5
"146","P2",5
"147","P2",7.5
"148","P2",7.5
"149","P2",4
"150","P2",7.5
"151","P2",5
"152","P2",5
"153","P2",7.5
"154","P2",5
"155","P2",5
"156","P2",4
"157","P2",5
"158","P2",5
"159","P2",5
"160","P2",5
"161","P2",2
"162","P2",5
"163","P2",5
"164","P2",5
"165","P2",5
"166","P2",5
"167","P2",7.5
"168","P2",5
"169","P2",5
"170","P2",5
