"","Var1","Freq"
"1","İstanbul",34087
"2","İzmir",6465
"3","Çanakkale",965
"4","Çankırı",309
"5","Çorum",304
"6","Adana",2514
"7","Afyonkarahisar",331
"8","Aksaray",650
"9","Ankara",8720
"10","Antalya",5911
"11","Artvin",344
"12","Aydın",1617
"13","Şanlıurfa",609
"14","Balıkesir",2463
"15","Batman",604
"16","Bilecik",339
"17","Bolu",631
"18","Bursa",2441
"19","Düzce",303
"20","Denizli",964
"21","Diyarbakır",954
"22","Edirne",1230
"23","Erzincan",319
"24","Erzurum",317
"25","Eskişehir",900
"26","Gaziantep",1487
"27","Giresun",310
"28","Hatay",951
"29","Isparta",304
"30","Kırıkkale",622
"31","Kırşehir",319
"32","Kırklareli",281
"33","Kütahya",304
"34","Kahramanmaraş",315
"35","Kars",289
"36","Kayseri",323
"37","Kocaeli",4364
"38","Konya",1576
"39","Malatya",616
"40","Manisa",1227
"41","Mardin",610
"42","Mersin",2735
"43","Muğla",1823
"44","Nevşehir",328
"45","Niğde",310
"46","Ordu",317
"47","Rize",345
"48","Sakarya",604
"49","Samsun",324
"50","Siirt",315
"51","Sivas",326
"52","Tanımsız",298
"53","Tekirdağ",1577
"54","Trabzon",660
"55","Uşak",293
"56","Yalova",630
"57","Zonguldak",926
