"","Var1","Freq"
"1","İstanbul",50
"2","İzmir",9
"3","Adana",3
"4","Afyonkarahisar",1
"5","Amasya",1
"6","Ankara",19
"7","Antalya",4
"8","Aydın",2
"9","Şanlıurfa",1
"10","Balıkesir",1
"11","Bolu",1
"12","Bursa",5
"13","Denizli",1
"14","Diyarbakır",3
"15","Edirne",1
"16","Elazığ",1
"17","Eskişehir",3
"18","Gaziantep",1
"19","Isparta",1
"20","Kırklareli",1
"21","Kütahya",1
"22","Karabük",1
"23","Kastamonu",1
"24","Kayseri",3
"25","Kocaeli",1
"26","Konya",2
"27","Muğla",2
"28","Osmaniye",1
"29","Sakarya",4
"30","Samsun",5
"31","Tekirdağ",3
"32","Tokat",1
"33","Trabzon",2
"34","Uşak",1
